R_G0,R_q,anchor_id,anisotropy_level,expensive_direction_wins,maximum_relative_paired_length_mismatch,mean_sign_asymmetry,min_sigma_min_5,minimum_absolute_joint_margin_rad,surface_id,valid_probe_lengths
1.5896001891291343,1.1793790918321538,A05,P_low,True,3.995518759597472e-09,0.04821092823129211,0.705488158050413,1.2207890206873868,saddle,2
1.3227080756067398,1.1042080158815635,A06,P_low,True,4.200458340528068e-09,0.044876600252863545,0.7368149021253049,1.489750389563999,saddle,2
1.0726197489283693,0.9620848327805575,A07,P_low,False,3.8249282213742575e-09,0.06348631959562963,0.7172300514446749,1.4156216708951577,saddle,2
1.050494914696634,0.8910779679465944,A08,P_low,False,4.802182523161447e-09,0.10012981334512752,0.6928619048969253,1.4259912029952047,saddle,2
1.6674851743410521,1.322326355132293,A09,P_low,True,1.9022841678609237e-08,0.06882388336718126,0.6285926731861862,1.4277924733597036,saddle,2
1.1635439561198633,1.2049188370152286,A10,P_low,True,7.663816413081004e-09,0.05535979995094191,0.6943630084888958,1.2433866604003656,saddle,2
1.1203254772027105,0.9541129746003606,A11,P_low,False,1.1204643549783677e-08,0.04660431929153339,0.6317485117230589,1.2390316894997007,saddle,2
1.574590542036743,1.6651752786698457,A12,P_low,True,9.345512861844152e-09,0.061589769803680514,0.6939283710895872,1.1304064730158903,saddle,2
2.189864551271586,1.5188107722946982,A13,P_low,True,5.702363494591856e-10,0.08488557429549873,0.588448076915224,1.2674308843783884,saddle,2
1.4949441088936781,1.4611833601517896,A14,P_low,True,1.2956476169723175e-10,0.059900109773800864,0.6899634777350999,1.1053491363025243,saddle,2
2.118406676965294,1.7297297393276962,A00,P_mid,True,5.652023770882919e-09,0.056379398268224405,0.9243335336617976,0.9824937777593492,saddle,2
1.346877611020459,1.2299519097647844,A01,P_mid,True,1.9641044650062223e-08,0.023343016436274403,0.8672536542573861,1.3299585070677375,saddle,2
1.3600828215771428,1.2047599962654547,A02,P_mid,True,1.505322624363592e-08,0.05733327770068718,0.934255305291676,1.2624888659236557,saddle,2
1.4372899944709852,1.3111953764729662,A03,P_mid,True,1.1581426139287143e-08,0.0414656967779514,0.9548371552683809,1.3072295773421336,saddle,2
1.1626546272079148,0.9921643761937551,A04,P_mid,False,9.894277020958131e-09,0.06890218924211658,0.8906749596999136,1.4214823509008285,saddle,2
2.114629388127602,1.7236788417624092,A05,P_mid,True,1.0679152007142534e-08,0.04765867347688524,0.9368426730625453,1.0673988281209672,saddle,2
1.522818837270198,1.428765096496636,A06,P_mid,True,4.646450325190843e-10,0.06810637992156653,0.817413528887211,1.4935273208324364,saddle,2
1.6246648982031757,1.6216367550508768,A07,P_mid,True,1.3249099950832233e-08,0.05132629724611015,0.9663374214973554,1.3607472282607214,saddle,2
1.8296711814879267,1.691926337531924,A08,P_mid,True,1.0699310361295122e-08,0.08154623530389256,1.012030858528361,1.304574528908466,saddle,2
2.9005218113809406,2.235734911663402,A09,P_mid,True,8.165308706953311e-09,0.0492450155668733,0.8672811404382289,1.325881399410231,saddle,2
1.8968305558246308,1.714969338221662,A10,P_mid,True,1.09824911751627e-08,0.04953782103505559,0.9599168136169197,1.1515537929069186,saddle,2
2.681004107515456,2.086575205939267,A11,P_mid,True,2.567312031367952e-09,0.055845501358237154,0.8833087425252288,1.230919679594603,saddle,2
