directed_transition_jaccard,geometric_path_distance,normalized_sequence_distance,skeleton_a,skeleton_b,surface_id,tangent_disagreement,tree_edge_jaccard,undirected_transition_jaccard
0.6349809885931559,0.0485127414384544,0.44907407407407407,S02,S07,saddle,0.8627110153846361,0.7108433734939759,0.6349809885931559
0.9282511210762332,0.010550917229464125,0.08333333333333333,S02,S08,saddle,0.2805648223502956,0.9452054794520548,0.9282511210762332
0.799163179916318,0.046929100135996965,0.2962962962962963,S02,S09,saddle,0.781172390593308,0.8441558441558441,0.799163179916318
0.6602316602316602,0.05782212664199704,0.4351851851851852,S02,S10,saddle,0.976520527199831,0.7317073170731707,0.6602316602316602
0.6602316602316602,0.04450785108139711,0.39351851851851855,S02,S11,saddle,0.7776914264533592,0.7317073170731707,0.6602316602316602
0.8614718614718615,0.019702087764648296,0.18518518518518517,S02,S12,saddle,0.4072091562351443,0.8933333333333333,0.8614718614718615
0.6104868913857678,0.05660508319448682,0.5138888888888888,S02,S13,saddle,0.9975289657559888,0.6904761904761905,0.6104868913857678
0.9282511210762332,0.002466114211976512,0.05555555555555555,S02,S14,saddle,0.15485531752003556,0.9452054794520548,0.9282511210762332
0.7408906882591093,0.038810755284769155,0.37037037037037035,S02,S15,saddle,0.8177498726207691,0.7974683544303798,0.7408906882591093
0.6862745098039216,0.03209964721044423,0.375,S02,S16,saddle,0.6993622719322158,0.7530864197530864,0.6862745098039216
0.799163179916318,0.02789945790526456,0.26851851851851855,S02,S17,saddle,0.6825264298720646,0.8441558441558441,0.799163179916318
0.799163179916318,0.03659716398557998,0.2824074074074074,S02,S18,saddle,0.7929112317886654,0.8441558441558441,0.799163179916318
0.6602316602316602,0.04061858102707537,0.4398148148148148,S02,S19,saddle,0.8623945338668474,0.7317073170731707,0.6602316602316602
0.8297872340425532,0.025643829758682436,0.25,S03,S04,saddle,0.5294867987044297,0.868421052631579,0.8297872340425532
0.5636363636363636,0.05598971494955698,0.5324074074074074,S03,S05,saddle,0.9392241907394756,0.6511627906976745,0.5636363636363636
0.6862745098039216,0.041256188429436624,0.39351851851851855,S03,S06,saddle,0.8198744112000521,0.7530864197530864,0.6862745098039216
0.6862745098039216,0.037383096747281366,0.3611111111111111,S03,S07,saddle,0.7306121531710784,0.7530864197530864,0.6862745098039216
0.8614718614718615,0.03071572115398971,0.19444444444444445,S03,S08,saddle,0.5656824676169128,0.8933333333333333,0.8614718614718615
0.8614718614718615,0.03503315305192436,0.19444444444444445,S03,S09,saddle,0.6876863201591892,0.8933333333333333,0.8614718614718615
0.7695473251028807,0.047147417152532,0.32407407407407407,S03,S10,saddle,0.84963933594241,0.8205128205128205,0.7695473251028807
0.7695473251028807,0.03232820073090532,0.26851851851851855,S03,S11,saddle,0.6060357952390056,0.8205128205128205,0.7695473251028807
0.9282511210762332,0.006404711363082254,0.08333333333333333,S03,S12,saddle,0.21274587921733223,0.9452054794520548,0.9282511210762332
0.6602316602316602,0.04298138415246529,0.4351851851851852,S03,S13,saddle,0.8752493363866279,0.7317073170731707,0.6602316602316602
0.9282511210762332,0.02209110638076487,0.1111111111111111,S03,S14,saddle,0.39908230161641367,0.9452054794520548,0.9282511210762332
0.799163179916318,0.024946331503936003,0.25462962962962965,S03,S15,saddle,0.6176947088217613,0.8441558441558441,0.799163179916318
0.799163179916318,0.022495741994414745,0.26851851851851855,S03,S16,saddle,0.5267887075795453,0.8441558441558441,0.799163179916318
0.799163179916318,0.030303249287735413,0.25925925925925924,S03,S17,saddle,0.653529262314839,0.8441558441558441,0.799163179916318
0.8614718614718615,0.0272046479574824,0.19444444444444445,S03,S18,saddle,0.6430358557952167,0.8933333333333333,0.8614718614718615
0.7131474103585658,0.032773168470090756,0.375,S03,S19,saddle,0.7477108770420468,0.775,0.7131474103585658
0.49825783972125437,0.06387253811663744,0.6435185185185185,S04,S05,saddle,0.9851921829513577,0.5955056179775281,0.49825783972125437
0.6104868913857678,0.034478859409628235,0.4444444444444444,S04,S06,saddle,0.7501020622793558,0.6904761904761905,0.6104868913857678
0.6104868913857678,0.051444464264505746,0.49074074074074076,S04,S07,saddle,0.905331430562548,0.6904761904761905,0.6104868913857678
0.8297872340425532,0.016532002647813987,0.2037037037037037,S04,S08,saddle,0.39812771102707567,0.868421052631579,0.8297872340425532
0.8297872340425532,0.0383784344155256,0.2037037037037037,S04,S09,saddle,0.6751342546322622,0.868421052631579,0.8297872340425532
0.6862745098039216,0.058858792122987356,0.4861111111111111,S04,S10,saddle,0.958155231136421,0.7530864197530864,0.6862745098039216
0.6862745098039216,0.0495516264809105,0.4444444444444444,S04,S11,saddle,0.8476639126886487,0.7530864197530864,0.6862745098039216
0.8297872340425532,0.02736961148777701,0.19907407407407407,S04,S12,saddle,0.610785811989919,0.868421052631579,0.8297872340425532
0.5867158671586716,0.05371233969775674,0.5231481481481481,S04,S13,saddle,0.9332738296978361,0.6705882352941176,0.5867158671586716
0.8297872340425532,0.022507044713106716,0.25,S04,S14,saddle,0.5029815851701231,0.868421052631579,0.8297872340425532
0.7131474103585658,0.03727011044180343,0.3287037037037037,S04,S15,saddle,0.809767481178567,0.775,0.7131474103585658
0.8942731277533039,0.02115044965068931,0.1388888888888889,S04,S16,saddle,0.41839283501125824,0.918918918918919,0.8942731277533039
0.7695473251028807,0.020235679981862008,0.22685185185185186,S04,S17,saddle,0.5074680954389363,0.8205128205128205,0.7695473251028807
0.7695473251028807,0.04171054332933227,0.3055555555555556,S04,S18,saddle,0.8073765180357971,0.8205128205128205,0.7695473251028807
0.6349809885931559,0.04213625329049352,0.4675925925925926,S04,S19,saddle,0.8509851114877209,0.7108433734939759,0.6349809885931559
0.5636363636363636,0.0537699567549449,0.5138888888888888,S05,S06,saddle,0.9153899075633559,0.6511627906976745,0.5636363636363636
0.8297872340425532,0.032662084011268376,0.25,S05,S07,saddle,0.6400875550808838,0.868421052631579,0.8297872340425532
0.519434628975265,0.06819067674384299,0.6712962962962963,S05,S08,saddle,1.0463576741064016,0.6136363636363636,0.519434628975265
0.6104868913857678,0.04094475372446015,0.5,S05,S09,saddle,0.788721779838009,0.6904761904761905,0.6104868913857678
0.7408906882591093,0.022736317159246393,0.28703703703703703,S05,S10,saddle,0.5490738107339829,0.7974683544303798,0.7408906882591093
0.7408906882591093,0.030186097486230513,0.33796296296296297,S05,S11,saddle,0.6321289393723888,0.7974683544303798,0.7408906882591093
0.6104868913857678,0.05786343063777855,0.5138888888888888,S05,S12,saddle,0.9673638041799986,0.6904761904761905,0.6104868913857678
0.8614718614718615,0.021115088672550505,0.19444444444444445,S05,S13,saddle,0.45715023660146153,0.8933333333333333,0.8614718614718615
0.519434628975265,0.0670011637624935,0.6435185185185185,S05,S14,saddle,1.0623019419339137,0.6136363636363636,0.519434628975265
0.7131474103585658,0.0394775896712143,0.3287037037037037,S05,S15,saddle,0.7078202524379055,0.775,0.7131474103585658
0.5636363636363636,0.056078669503328904,0.5509259259259259,S05,S16,saddle,0.8737017391931743,0.6511627906976745,0.5636363636363636
0.6602316602316602,0.053600936011529925,0.4398148148148148,S05,S17,saddle,0.9262030558035765,0.7317073170731707,0.6602316602316602
0.6602316602316602,0.0475075522920072,0.41203703703703703,S05,S18,saddle,0.8492901383578437,0.7317073170731707,0.6602316602316602
0.799163179916318,0.038292423826413916,0.2777777777777778,S05,S19,saddle,0.6799635662292914,0.8441558441558441,0.799163179916318
0.5867158671586716,0.06446607209165284,0.5555555555555556,S06,S07,saddle,1.0794944517832386,0.6705882352941176,0.5867158671586716
0.7408906882591093,0.025984592221742167,0.3425925925925926,S06,S08,saddle,0.5501250078197711,0.7974683544303798,0.7408906882591093
0.6349809885931559,0.057914734377789386,0.5277777777777778,S06,S09,saddle,0.9592637855763012,0.7108433734939759,0.6349809885931559
0.5636363636363636,0.055736450564618505,0.5555555555555556,S06,S10,saddle,0.9545937998594214,0.6511627906976745,0.5636363636363636
0.519434628975265,0.061663804954850535,0.6018518518518519,S06,S11,saddle,1.0313698457466818,0.6136363636363636,0.519434628975265
0.6862745098039216,0.03826256543093043,0.42592592592592593,S06,S12,saddle,0.7886475704610291,0.7530864197530864,0.6862745098039216
0.6602316602316602,0.04303423437722386,0.3888888888888889,S06,S13,saddle,0.8175632734160196,0.7317073170731707,0.6602316602316602
0.7408906882591093,0.024754071763859006,0.2962962962962963,S06,S14,saddle,0.5623671675241615,0.7974683544303798,0.7408906882591093
0.799163179916318,0.024768289680131027,0.26851851851851855,S06,S15,saddle,0.5853845219873591,0.8441558441558441,0.799163179916318
0.5412186379928315,0.041615840746446614,0.5370370370370371,S06,S16,saddle,0.8667007897259417,0.632183908045977,0.5412186379928315
0.799163179916318,0.025056448605182573,0.2777777777777778,S06,S17,saddle,0.6266388607916911,0.8441558441558441,0.799163179916318
0.6862745098039216,0.03382047797010501,0.42592592592592593,S06,S18,saddle,0.7621469990341813,0.7530864197530864,0.6862745098039216
0.6602316602316602,0.02684867767148765,0.3611111111111111,S06,S19,saddle,0.6603920337887343,0.7317073170731707,0.6602316602316602
0.6349809885931559,0.054212856125713776,0.5046296296296297,S07,S08,saddle,0.9313987540519607,0.7108433734939759,0.6349809885931559
0.7408906882591093,0.030255072975511076,0.33796296296296297,S07,S09,saddle,0.6344082136769422,0.7974683544303798,0.7408906882591093
0.8297872340425532,0.017595231567939143,0.17592592592592593,S07,S10,saddle,0.41525481472580555,0.868421052631579,0.8297872340425532
0.8942731277533039,0.005970914822077906,0.09259259259259259,S07,S11,saddle,0.2171736782598353,0.918918918918919,0.8942731277533039
0.7408906882591093,0.03914144329001769,0.33796296296296297,S07,S12,saddle,0.746742390520174,0.7974683544303798,0.7408906882591093
0.8942731277533039,0.036921942316025455,0.16666666666666666,S07,S13,saddle,0.7063040054491033,0.918918918918919,0.8942731277533039
0.6349809885931559,0.04846862273566907,0.4583333333333333,S07,S14,saddle,0.8574218320587688,0.7108433734939759,0.6349809885931559
0.7408906882591093,0.05497020708588757,0.36574074074074076,S07,S15,saddle,0.9310544108059765,0.7974683544303798,0.7408906882591093
0.6862745098039216,0.04371762387750315,0.37962962962962965,S07,S16,saddle,0.7987972008197836,0.7530864197530864,0.6862745098039216
0.7408906882591093,0.05525087530132358,0.3611111111111111,S07,S17,saddle,0.9666254191396574,0.7974683544303798,0.7408906882591093
0.7408906882591093,0.04581655643414222,0.3425925925925926,S07,S18,saddle,0.7937532802318432,0.7974683544303798,0.7408906882591093
0.8297872340425532,0.052649853619852305,0.25,S07,S19,saddle,0.8303687230877685,0.868421052631579,0.8297872340425532
